0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:23:50 +0100] "GET /WebProject/home.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:23:57 +0100] "GET /WebProject/aboutus.jsp HTTP/1.1" 200 3503
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:24:03 +0100] "GET /WebProject/volunteers.jsp HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:24:03 +0100] "GET /WebProject/CSS/doggy.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:24:10 +0100] "GET /WebProject/organisations.jsp HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:24:12 +0100] "GET /WebProject/resources.jsp HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:24:15 +0100] "GET /WebProject/contactus.jsp HTTP/1.1" 200 5126
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:10 +0100] "POST /WebProject/contactUsServlet HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:12 +0100] "GET /WebProject/contactus.jsp HTTP/1.1" 200 5126
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:12 +0100] "GET /WebProject/CSS/homeless.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:12 +0100] "GET /WebProject/CSS/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:12 +0100] "GET /WebProject/CSS/servicesStyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:12 +0100] "GET /WebProject/images/Homeless.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:14 +0100] "GET /WebProject/contactus.jsp HTTP/1.1" 200 5126
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:15 +0100] "GET /WebProject/logoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jul/2018:19:25:15 +0100] "GET /WebProject/login.jsp HTTP/1.1" 200 3240
